lemon,partOfSpeech,writtenForm (singular),SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue
fictional character_of,noun,fictional character,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FictionalCharacter
figureskater_of,noun,Figure Skater,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FigureSkater
film_of,noun,film,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Film
filmfestival_of,noun,Film Festival,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FilmFestival
fish_of,noun,Fish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Fish
food_of,noun,food,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Food
footballleagueseason_of,noun,Football League Season,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FootballLeagueSeason
footballmatch_of,noun,Football Match,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FootballMatch
formermunicipality_of,noun,Former Municipality,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FormerMunicipality
formulaoneracer_of,noun,Formula One Racer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FormulaOneRacer
formulaoneteam_of,noun,Formula OneTeam,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:FormulaOneTeam
book_of,noun,book,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Foundation_series
fungus_of,noun,Fungus,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Fungus
gaelicgamesplayer_of,noun,Gaelic Games Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GaelicGamesPlayer
galaxy_of,noun,Galaxy,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Galaxy
game_of,noun,Game,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Game
garden_of,noun,Garden,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Garden
genre_of,noun,genre,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Genre
givenname_of,noun,Given Name,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:GivenName
glacier_of,noun,Glacier,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Glacier
